 Date,Sales
10-03-2018,1096
03-02-2018,5729
24-01-2018,2927
27-12-2018,2847
21-08-2018,2617
21-01-2018,2244
16-01-2018,275
27-03-2018,387
01-10-2018,50
01-04-2018,135
13-11-2018,231
21-01-2018,2125
30-03-2018,3873
04-02-2018,729
25-11-2018,2188
25-08-2018,6
01-12-2018,1854
18-10-2018,6
08-11-2018,2093
15-11-2018,7
26-10-2018,1622
19-09-2018,1622
11-06-2018,373
18-02-2018,82
08-02-2018,8
19-08-2018,1954
10-12-2018,1543
04-01-2018,1506
30-09-2018,1829
27-04-2018,9
04-06-2018,1461
13-12-2018,391
14-12-2018,1824
13-01-2018,16
12-04-2018,1745
23-12-2018,663
01-09-2018,10
24-04-2018,1630
22-07-2018,12
09-01-2018,12
02-11-2018,1709
21-03-2018,12
11-09-2018,1625
12-07-2018,13
26-03-2018,1361
04-03-2018,1622
24-09-2018,1547
11-05-2018,1657
08-04-2018,1603
14-08-2018,1549
12-09-2018,1183
03-04-2018,74
07-03-2018,1499
08-05-2018,1120
08-11-2018,15
26-08-2018,1487
04-02-2018,1118
02-01-2018,11
09-02-2018,15
22-06-2018,1364
29-10-2018,1337
01-04-2018,15
23-11-2018,322
20-02-2018,1316
20-01-2018,1314
01-06-2018,17
30-10-2018,17
04-12-2018,17
29-12-2018,1308
14-01-2018,1076
02-09-2018,1301
18-01-2018,1300
22-07-2018,11
24-11-2018,1298
16-03-2018,304
10-10-2018,1055
18-11-2018,17
19-02-2018,147
23-04-2018,965
05-01-2018,12
09-04-2018,14
10-09-2018,934
02-08-2018,929
27-01-2018,18
29-04-2018,916
22-07-2018,76
13-08-2018,869
23-05-2018,112
13-05-2018,39
17-08-2018,857
14-03-2018,828
29-10-2018,1279
27-06-2018,1250
13-01-2018,823
22-05-2018,1157
31-05-2018,126
06-05-2018,1145
31-01-2018,774
05-11-2018,24
07-12-2018,774
10-10-2018,93
21-10-2018,765
14-01-2018,762
21-06-2018,761
26-04-2018,96
11-08-2018,1137
10-12-2018,18
07-11-2018,749
28-01-2018,1120
08-12-2018,744
20-11-2018,14
26-02-2018,19
27-05-2018,512
31-03-2018,742
07-05-2018,44
21-01-2018,1061
15-02-2018,19
20-05-2018,17
22-02-2018,741
08-03-2018,735
05-02-2018,19
14-09-2018,1021
28-08-2018,556
05-10-2018,63
11-01-2018,734
26-03-2018,933
03-11-2018,20
13-10-2018,877
13-01-2018,719
22-01-2018,12
24-11-2018,714
10-03-2018,50
28-11-2018,709
06-12-2018,21
20-08-2018,693
14-11-2018,24
16-06-2018,24
26-04-2018,24
01-07-2018,21
27-10-2018,681
10-11-2018,674
04-12-2018,671
18-01-2018,646
06-02-2018,40
28-03-2018,24
09-08-2018,644
25-01-2018,643
25-05-2018,632
03-11-2018,632
02-12-2018,610
08-01-2018,78
03-11-2018,595
26-04-2018,595
22-10-2018,852
22-03-2018,594
23-04-2018,585
05-10-2018,582
18-06-2018,845
24-09-2018,829
06-10-2018,561
05-07-2018,771
25-05-2018,765
10-11-2018,31
15-09-2018,557
03-01-2018,757
09-03-2018,545
18-03-2018,1052
24-09-2018,544
30-01-2018,22
27-01-2018,757
10-03-2018,742
22-03-2018,537
20-09-2018,536
07-06-2018,6
19-01-2018,523
14-08-2018,27
24-10-2018,516
22-04-2018,504
14-08-2018,502
10-06-2018,734
11-02-2018,42
23-02-2018,29
23-06-2018,240
21-01-2018,496
28-10-2018,485
07-08-2018,31
28-11-2018,676
25-01-2018,23
29-03-2018,13
13-04-2018,180
21-07-2018,671
06-03-2018,22
09-04-2018,668
03-08-2018,145
17-01-2018,24
14-06-2018,476
05-01-2018,24
04-12-2018,37
10-10-2018,152
12-07-2018,32
18-12-2018,52
10-12-2018,24
28-03-2018,473
10-05-2018,263
21-03-2018,61
18-01-2018,469
08-11-2018,1272
28-04-2018,169
08-06-2018,25
14-02-2018,457
23-02-2018,455
10-03-2018,25
15-10-2018,450
10-07-2018,30
04-01-2018,659
13-02-2018,448
11-05-2018,446
12-10-2018,98
26-04-2018,443
04-12-2018,427
11-06-2018,656
17-05-2018,424
26-04-2018,27
13-03-2018,424
03-03-2018,202
02-09-2018,1275
08-08-2018,418
18-04-2018,417
18-01-2018,199
02-09-2018,385
18-04-2018,414
11-06-2018,97
25-10-2018,648
23-02-2018,27
09-07-2018,27
01-02-2018,27
04-11-2018,413
06-11-2018,53
15-09-2018,29
20-04-2018,30
04-02-2018,412
03-06-2018,646
22-07-2018,30
14-02-2018,618
24-08-2018,143
05-10-2018,31
18-08-2018,409
16-02-2018,406
27-04-2018,565
22-09-2018,85
20-03-2018,561
09-02-2018,503
26-03-2018,31
17-04-2018,398
30-01-2018,388
31-08-2018,498
31-01-2018,561
31-10-2018,61
19-05-2018,34
21-02-2018,32
13-01-2018,623
05-12-2018,520
10-02-2018,32
24-11-2018,32
19-12-2018,510
24-09-2018,382
08-02-2018,33
01-05-2018,381
29-10-2018,490
12-04-2018,381
10-10-2018,487
03-11-2018,366
19-02-2018,33
06-09-2018,365
24-11-2018,207
16-05-2018,359
22-12-2018,351
22-01-2018,485
15-03-2018,37
17-11-2018,34
28-06-2018,346
17-05-2018,342
12-08-2018,35
30-08-2018,121
15-11-2018,336
11-03-2018,336
08-10-2018,27
09-12-2018,333
25-03-2018,36
08-05-2018,333
09-02-2018,327
01-10-2018,18
31-12-2018,325
31-01-2018,482
03-02-2018,465
20-04-2018,40
07-07-2018,107
25-01-2018,312
16-03-2018,451
16-07-2018,312
15-11-2018,311
03-02-2018,11
01-08-2018,37
01-03-2018,444
27-01-2018,434
12-12-2018,299
07-01-2018,37
24-09-2018,299
27-02-2018,298
18-06-2018,94
18-01-2018,296
23-02-2018,37
25-12-2018,291
10-01-2018,327
19-07-2018,291
19-02-2018,287
18-06-2018,42
21-05-2018,429
08-02-2018,285
11-04-2018,277
10-12-2018,274
22-04-2018,273
08-07-2018,269
27-03-2018,11
03-04-2018,39
23-10-2018,264
29-10-2018,40
19-02-2018,41
09-10-2018,253
11-12-2018,406
13-01-2018,32
27-03-2018,260
13-01-2018,41
07-02-2018,401
02-09-2018,382
15-05-2018,867
28-12-2018,43
27-11-2018,43
12-01-2018,74
16-03-2018,44
24-03-2018,259
20-07-2018,257
24-04-2018,76
28-05-2018,44
17-06-2018,257
03-02-2018,255
29-08-2018,44
04-12-2018,45
26-03-2018,44
13-09-2018,382
09-06-2018,250
03-08-2018,45
26-07-2018,246
04-05-2018,50
24-02-2018,246
25-06-2018,44
14-02-2018,245
29-06-2018,245
10-10-2018,376
16-10-2018,45
24-11-2018,45
24-05-2018,244
01-10-2018,244
01-01-2018,10
17-02-2018,375
16-03-2018,46
26-11-2018,49
04-12-2018,47
16-10-2018,355
03-12-2018,32
21-11-2018,243
26-04-2018,241
15-04-2018,47
23-01-2018,50
05-10-2018,15
15-11-2018,148
22-03-2018,299
07-10-2018,68
29-07-2018,52
24-11-2018,239
04-01-2018,27
17-12-2018,238
16-12-2018,48
20-10-2018,66
06-07-2018,53
15-11-2018,233
21-12-2018,53
05-03-2018,54
24-12-2018,352
24-06-2018,349
30-07-2018,341
26-06-2018,54
27-03-2018,57
23-03-2018,340
14-10-2018,227
03-11-2018,330
12-02-2018,216
24-04-2018,224
06-04-2018,55
10-08-2018,49
08-02-2018,224
03-11-2018,223
19-11-2018,324
16-03-2018,56
15-11-2018,223
25-02-2018,10
20-12-2018,57
27-03-2018,322
31-01-2018,219
11-12-2018,103
14-02-2018,47
30-04-2018,219
04-06-2018,57
18-07-2018,319
05-04-2018,315
24-09-2018,314
04-06-2018,311
04-01-2018,307
04-01-2018,294
02-02-2018,216
15-04-2018,58
22-02-2018,48
01-10-2018,54
29-10-2018,216
22-03-2018,215
05-01-2018,43
05-01-2018,136
11-07-2018,59
03-08-2018,213
27-08-2018,59
22-11-2018,55
24-11-2018,294
30-12-2018,210
21-03-2018,59
23-04-2018,396
06-01-2018,284
04-03-2018,276
17-03-2018,23
20-02-2018,209
19-01-2018,50
26-12-2018,57
16-11-2018,276
06-04-2018,268
08-09-2018,269
04-02-2018,209
15-03-2018,60
17-07-2018,269
09-09-2018,208
22-02-2018,27
30-06-2018,206
24-04-2018,61
28-07-2018,212
03-05-2018,262
23-09-2018,204
01-07-2018,59
15-12-2018,199
07-09-2018,59
28-02-2018,45
10-10-2018,211
18-10-2018,65
21-03-2018,25
15-09-2018,196
04-03-2018,261
15-06-2018,195
01-07-2018,192
31-07-2018,189
15-07-2018,32
11-12-2018,188
12-07-2018,73
13-02-2018,259
02-03-2018,187
05-05-2018,26
14-05-2018,185
28-05-2018,248
22-04-2018,67
28-11-2018,248
27-04-2018,246
01-11-2018,179
27-01-2018,176
13-02-2018,176
20-02-2018,68
19-03-2018,176
01-05-2018,88
02-06-2018,68
23-08-2018,231
12-03-2018,62
25-04-2018,175
22-03-2018,71
28-05-2018,174
21-01-2018,173
27-07-2018,171
29-10-2018,268
15-09-2018,71
29-01-2018,29
21-09-2018,65
03-08-2018,72
26-03-2018,168
01-07-2018,165
22-08-2018,74
28-03-2018,89
